capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native
1200,10.001747099999994,0,8.1729,1.907,1.8923,1.7483,0.176,0.0025,0.0059,0.0001,0.0374,0.0489,0.0032,0.0013,0.013,0.0001,0.0013,0.0019,0.0001,0.0001,0.0082,0.0017,0.0004,0.0028,0.0001,0.0928,0.0192,0.0001,0.0081,0.0,125.0,0.0,62.0,63.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1201,10.009919999999994,0,8.3601,1.801,1.7202,1.6299,0.1554,0.0033,0.0063,0.0001,0.0269,0.0385,0.0023,0.0006,0.0089,0.0002,0.0014,0.0013,0.0,0.0001,0.0083,0.0011,0.0004,0.0027,0.0,0.0752,0.0191,0.0001,0.0084,0.0,125.0,0.0,62.0,63.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1202,10.018280099999995,0,8.3221,1.767,1.8055,1.6761,0.1755,0.003,0.0056,0.0002,0.0431,0.0543,0.0024,0.001,0.0109,0.0002,0.0016,0.0013,0.0001,0.0001,0.0089,0.0011,0.0005,0.0027,0.0001,0.0949,0.0188,0.0,0.0087,0.0,125.0,0.0,62.0,63.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1203,10.026602199999996,0,8.4914,1.7299,1.8723,1.7354,0.1675,0.0028,0.0061,0.0002,0.026,0.0376,0.002,0.0008,0.011,0.0002,0.0018,0.0015,0.0001,0.0001,0.0084,0.0012,0.001,0.0026,0.0001,0.0789,0.0193,0.0,0.0089,0.0,125.0,0.0,62.0,63.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1204,10.035093599999996,0,8.24,1.8865,1.906,1.6167,0.1858,0.0029,0.0069,0.0002,0.0395,0.0524,0.0023,0.0006,0.0112,0.0002,0.0017,0.0015,0.0,0.0001,0.0083,0.0013,0.0005,0.0028,0.0001,0.0949,0.02,0.0,0.0095,0.0,125.0,0.0,62.0,63.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1205,10.043333599999997,0,8.2971,1.8181,1.8251,1.7501,0.1704,0.0028,0.0067,0.0003,0.0277,0.0398,0.0022,0.0007,0.0114,0.0001,0.0014,0.0016,0.0002,0.0002,0.0088,0.0013,0.0005,0.0032,0.0001,0.0823,0.0173,0.0001,0.009,0.0,125.0,0.0,62.0,63.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1206,10.051630699999997,0,8.3386,1.8638,1.828,1.7883,0.1753,0.0024,0.006,0.0002,0.0383,0.0492,0.0028,0.0008,0.0124,0.0001,0.0018,0.0014,0.0001,0.0001,0.0081,0.0013,0.0005,0.0028,0.0,0.0924,0.0213,0.0001,0.0086,0.0,125.0,0.0,62.0,63.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1207,10.059969299999997,0,8.4867,1.856,1.9851,1.6635,0.1829,0.0026,0.0053,0.0002,0.0365,0.0475,0.0027,0.0009,0.0122,0.0002,0.0022,0.0018,0.0001,0.0001,0.0086,0.0012,0.0005,0.0031,0.0001,0.0927,0.0198,0.0,0.0083,0.0,125.0,0.0,62.0,63.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1208,10.068455999999998,0,8.3832,1.949,1.9146,1.6176,0.1858,0.0028,0.0056,0.0003,0.0464,0.0578,0.0023,0.0014,0.0117,0.0006,0.0016,0.0021,0.0001,0.0001,0.0083,0.0012,0.0006,0.0027,0.0001,0.1003,0.0178,0.0001,0.0085,0.0,125.0,0.0,62.0,63.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1209,10.076839199999998,0,8.1058,1.8938,1.9407,1.8031,0.1609,0.0033,0.0064,0.0002,0.0285,0.0407,0.0019,0.0006,0.0093,0.0002,0.0015,0.0015,0.0001,0.0002,0.0079,0.0011,0.0004,0.0026,0.0,0.0778,0.0198,0.0001,0.0083,0.0,125.0,0.0,62.0,63.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
