capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native
0,0.0,0,10.1057,266.1613,139.2822,26.0702,0.9799,0.0064,0.0049,0.0004,0.1976,0.2165,0.0109,0.0087,0.0547,0.0007,0.0076,0.0085,0.0025,0.0006,0.0148,0.0065,0.0054,0.0017,0.0001,0.3594,0.0453,0.0,0.0012,0.0,65.0,0.0,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1,0.0101057,0,5.1766,10.0816,5.4898,26.0702,0.2309,0.0049,0.0092,0.0003,0.0923,0.1098,0.0043,0.0016,0.0156,0.0002,0.0021,0.0029,0.0002,0.0003,0.0105,0.0016,0.0007,0.0018,0.0,0.1568,0.0227,0.0002,0.0011,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
2,0.0152823,0,6.8525,3.6091,1.8402,1.7112,0.1406,0.0053,0.0046,0.0002,0.0276,0.0399,0.0029,0.0012,0.0155,0.0002,0.0016,0.002,0.0007,0.0001,0.0114,0.0013,0.0013,0.0012,0.0,0.0844,0.019,0.0002,0.0008,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
3,0.0221348,0,8.5024,2.1582,1.6166,1.5735,0.1796,0.0065,0.0047,0.0003,0.032,0.0465,0.0037,0.0016,0.0178,0.0002,0.0027,0.0038,0.0002,0.0002,0.0115,0.0021,0.0006,0.0018,0.0,0.1014,0.0368,0.0001,0.001,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
4,0.0306372,0,8.2396,2.7231,1.5876,1.7274,0.1215,0.0056,0.0047,0.0003,0.0204,0.0348,0.002,0.001,0.0092,0.0001,0.0015,0.0022,0.0001,0.0002,0.0095,0.0012,0.0005,0.0014,0.0,0.0701,0.015,0.0001,0.001,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
5,0.0388768,0,8.6907,2.4493,2.0631,1.7402,0.1587,0.0056,0.0046,0.0003,0.0242,0.0381,0.0032,0.0009,0.018,0.0003,0.0024,0.0021,0.0004,0.0002,0.0125,0.0014,0.0005,0.0012,0.0,0.0882,0.0216,0.0001,0.0008,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
6,0.0475675,0,7.9764,2.2478,1.7115,1.6924,0.1537,0.0069,0.0053,0.0003,0.0379,0.053,0.003,0.0011,0.0105,0.0002,0.0018,0.0022,0.0001,0.0001,0.0105,0.0014,0.0008,0.0014,0.0,0.0911,0.0257,0.0001,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
7,0.0555439,0,8.3307,2.0899,1.5881,1.6256,0.1208,0.0053,0.0056,0.0003,0.0168,0.0302,0.002,0.0014,0.0128,0.0003,0.0021,0.0018,0.0001,0.0001,0.0105,0.0017,0.0006,0.001,0.0,0.0708,0.0138,0.0001,0.0008,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
8,0.0638746,0,8.348,2.066,1.6126,1.6095,0.1363,0.005,0.0046,0.0003,0.0326,0.0449,0.0025,0.0011,0.0114,0.0003,0.0033,0.0022,0.0001,0.0002,0.011,0.0014,0.0004,0.001,0.0,0.0853,0.0138,0.0002,0.0016,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
9,0.0722226,0,8.4328,1.9913,1.8018,1.49,0.1181,0.0035,0.0069,0.0003,0.0142,0.0273,0.002,0.0012,0.0094,0.0002,0.0016,0.0021,0.0002,0.0001,0.0102,0.0012,0.0005,0.0011,0.0001,0.064,0.0167,0.0002,0.0012,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
