capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native
1201,10.00720020000002,0,8.406,1.7089,1.5193,1.4716,0.1588,0.0044,0.0041,0.0002,0.0327,0.0441,0.0026,0.001,0.0127,0.0002,0.0016,0.0023,0.0002,0.0002,0.009,0.0012,0.0005,0.0001,0.0022,0.0879,0.0169,0.0,0.0043,0.0,95.0,0.0,32.0,63.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1202,10.01560620000002,0,8.3113,1.7676,1.5497,1.4453,0.1554,0.0041,0.0039,0.0002,0.0359,0.0466,0.0026,0.0009,0.0122,0.0001,0.0019,0.0016,0.0001,0.0001,0.0094,0.0012,0.0005,0.0,0.002,0.0893,0.0143,0.0,0.0047,0.0,95.0,0.0,32.0,63.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1203,10.023917500000021,0,8.4674,1.7597,1.5156,1.531,0.1414,0.0028,0.0037,0.0002,0.0267,0.0357,0.002,0.0008,0.0094,0.0001,0.0014,0.0015,0.0006,0.0001,0.0086,0.0012,0.0009,0.0001,0.0017,0.0739,0.0171,0.0001,0.0042,0.0,95.0,0.0,32.0,63.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1204,10.032384900000022,0,8.1811,1.8081,1.6862,1.4646,0.1691,0.0034,0.0038,0.0003,0.0384,0.0485,0.0024,0.001,0.0127,0.0002,0.0016,0.0021,0.0001,0.0001,0.0087,0.0014,0.0005,0.0001,0.0025,0.0918,0.0156,0.0,0.0049,0.0,95.0,0.0,32.0,63.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1205,10.040566000000021,0,8.2921,1.8865,1.4617,1.3378,0.1508,0.0051,0.0041,0.0002,0.0283,0.0402,0.0023,0.0009,0.0126,0.0001,0.0016,0.0019,0.0001,0.0002,0.0087,0.0012,0.0004,0.0001,0.0021,0.0832,0.0153,0.0001,0.0042,0.0,95.0,0.0,32.0,63.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1206,10.048858100000022,0,8.3663,1.7884,1.4746,1.4434,0.1566,0.0034,0.0037,0.0002,0.0382,0.0476,0.0022,0.0007,0.0121,0.0002,0.0016,0.0018,0.0001,0.0001,0.0087,0.0022,0.0004,0.0001,0.0024,0.09,0.0155,0.0,0.0042,0.0,95.0,0.0,32.0,63.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1207,10.057224400000022,0,8.3115,1.7885,1.5168,1.52,0.1467,0.0027,0.0037,0.0002,0.0292,0.0382,0.0022,0.0009,0.0088,0.0001,0.0022,0.0016,0.0005,0.0001,0.009,0.0017,0.0005,0.0,0.002,0.0787,0.0138,0.0001,0.0045,0.0,95.0,0.0,32.0,63.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1208,10.065535900000022,0,8.4611,1.8327,1.5539,1.5941,0.1705,0.0032,0.0041,0.0006,0.0392,0.0498,0.0024,0.0011,0.0118,0.0002,0.0022,0.0018,0.0002,0.0002,0.0096,0.0018,0.0005,0.0001,0.0019,0.0945,0.0187,0.0,0.0045,0.0,95.0,0.0,32.0,63.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1209,10.073997000000022,0,8.2425,1.7572,1.5148,1.5182,0.1485,0.0043,0.0041,0.0003,0.0277,0.039,0.0021,0.0008,0.0109,0.0001,0.0015,0.0021,0.0001,0.0001,0.0085,0.0016,0.0004,0.0,0.0017,0.0789,0.0164,0.0,0.0048,0.0,95.0,0.0,32.0,63.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1210,10.082239500000021,0,8.3159,1.7564,1.5795,1.636,0.1664,0.0029,0.0042,0.0003,0.0417,0.052,0.0026,0.0009,0.0116,0.0002,0.0022,0.0015,0.0001,0.0001,0.0089,0.0018,0.0005,0.0,0.0018,0.0953,0.0175,0.0001,0.0035,0.0,95.0,0.0,32.0,63.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
