capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native
0,0.0,0,11.5685,323.1851,163.1998,20.8486,1.1809,0.0061,0.0055,0.0003,0.1829,0.2028,0.0102,0.0087,0.0594,0.0002,0.0089,0.0102,0.0025,0.0002,0.0138,0.0042,0.0053,0.0001,0.0018,0.3566,0.0516,0.0,0.0012,0.0,65.0,0.0,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1,0.0115685,0,2.6185,11.372,5.6058,2.9976,0.2223,0.0055,0.0099,0.0003,0.0955,0.1143,0.0066,0.001,0.0163,0.0001,0.0016,0.002,0.0001,0.0001,0.0097,0.0028,0.0006,0.0,0.0015,0.1621,0.0153,0.0,0.0012,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
2,0.014187000000000002,0,8.154,2.3805,1.5292,1.7651,0.1349,0.0059,0.0115,0.0003,0.0182,0.0395,0.0022,0.001,0.0103,0.0006,0.002,0.0021,0.0001,0.0001,0.0117,0.0012,0.001,0.0001,0.0011,0.0798,0.0164,0.0,0.0008,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
3,0.022341,0,8.0901,2.0754,1.5121,1.6726,0.1491,0.0044,0.0042,0.0003,0.0296,0.0411,0.0036,0.0014,0.0179,0.0002,0.0029,0.0022,0.0002,0.0001,0.0105,0.0015,0.0006,0.0002,0.0017,0.0928,0.0209,0.0,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
4,0.0304311,0,8.2797,2.2494,1.3546,1.4596,0.119,0.0049,0.0042,0.0003,0.0229,0.0349,0.0019,0.0014,0.0129,0.0002,0.0017,0.0024,0.0002,0.0001,0.0101,0.0012,0.0005,0.0001,0.0011,0.0732,0.0146,0.0,0.0008,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
5,0.0387108,0,8.6193,1.964,1.4845,1.4427,0.1152,0.0046,0.0038,0.0002,0.0208,0.0319,0.002,0.0011,0.0094,0.0001,0.0022,0.0016,0.0001,0.0001,0.0104,0.0012,0.0009,0.0001,0.001,0.0675,0.0129,0.0001,0.0016,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
6,0.0473301,0,8.3777,2.0615,1.5547,1.5758,0.1237,0.0049,0.0037,0.0003,0.028,0.0391,0.002,0.0009,0.0098,0.0003,0.0015,0.002,0.0002,0.0001,0.0091,0.0017,0.0006,0.0001,0.001,0.0739,0.0159,0.0,0.0013,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
7,0.0557078,0,8.3873,2.0443,1.6738,1.6235,0.1334,0.0048,0.0056,0.0004,0.0149,0.0291,0.0028,0.001,0.0105,0.0001,0.0021,0.0034,0.0004,0.0002,0.0123,0.0012,0.0012,0.0001,0.001,0.0721,0.015,0.0,0.001,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
8,0.0640951,0,8.0634,2.2548,1.6124,1.661,0.1186,0.0033,0.0062,0.0002,0.0195,0.0319,0.0023,0.0015,0.014,0.0002,0.0015,0.0022,0.0001,0.0001,0.0101,0.0013,0.0005,0.0001,0.001,0.0719,0.0135,0.0,0.0008,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
9,0.0721585,0,8.5509,1.9789,1.6161,1.2355,0.1128,0.0032,0.004,0.0002,0.0121,0.0218,0.002,0.0012,0.0094,0.0001,0.0019,0.0018,0.0003,0.0002,0.0136,0.0016,0.0006,0.0002,0.0014,0.0638,0.0147,0.0001,0.0016,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
