capture_frame_index,elapsed_start_seconds,event_count,FrameTime_ms,RenderThreadTime_ms,GameThreadTime_ms,RHIThreadTime_ms,PhysicsVerbose/AllWorkers/StepSolver_ms,PhysicsVerbose/AllWorkers/StepSolver_Integrate_ms,PhysicsVerbose/AllWorkers/StepSolver_KinematicTargets_ms,PhysicsVerbose/AllWorkers/StepSolver_UpdateConstraintPositionBasedState_ms,PhysicsVerbose/AllWorkers/StepSolver_ComputeIntermediateSpatialAcceleration_ms,PhysicsVerbose/AllWorkers/StepSolver_IntegrateKinematicSpatial_ms,PhysicsVerbose/AllWorkers/DetectCollisions_BroadPhase_ms,PhysicsVerbose/AllWorkers/DetectCollisions_NarrowPhase_ms,PhysicsVerbose/AllWorkers/StepSolver_DetectCollisions_ms,PhysicsVerbose/AllWorkers/CCD_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateConstraintGraph_ms,PhysicsVerbose/AllWorkers/StepSolver_CreateIslands_ms,PhysicsVerbose/AllWorkers/StepSolver_PruneCollisions_ms,PhysicsVerbose/AllWorkers/StepSolver_ReloadCacheTotalSerialized_ms,PhysicsVerbose/AllWorkers/StepSolver_BuildGroups_ms,PhysicsVerbose/AllWorkers/StepSolver_PerIslandSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_CCDCorrection_ms,PhysicsVerbose/AllWorkers/StepSolver_SavePostSolve_ms,PhysicsVerbose/AllWorkers/StepSolver_DeactivateSleep_ms,PhysicsVerbose/AllWorkers/StepSolver_IslandEndTick_ms,PhysicsVerbose/AllWorkers/StepSolver_AdvanceOneTimeStepImpl_ms,PhysicsVerbose/AllWorkers/StepSolver_PullData_ms,PhysicsVerbose/GameThread/AcquireSceneWriteLock_ms,PhysicsCounters/NumDisabledBodies_native,PhysicsCounters/NumBodies_native,PhysicsCounters/NumDynamicBodies_native,PhysicsCounters/NumKinematicBodies_native,PhysicsCounters/NumStaticBodies_native,PhysicsCounters/NumMovingBodies_native,PhysicsCounters/NumGeometryCollectionBodies_native,PhysicsCounters/NumIslands_native,PhysicsCounters/NumIslandGroups_native,PhysicsCounters/NumContacts_native,PhysicsCounters/NumJoints_native,PhysicsCounters/NumCharacterGroundConstraints_native,PhysicsCounters/NumValidConstraints_native,PhysicsCounters/NumActiveConstraints_native,PhysicsCounters/NumRestoredConstraints_native,PhysicsCounters/NumManifoldPoints_native,PhysicsCounters/NumActiveManifoldPoints_native,PhysicsCounters/NumRestoredManifoldPoints_native,PhysicsCounters/NumUpdatedManifoldPoints_native,PhysicsCounters/NumStaticShapes_native,PhysicsCounters/NumKinematicShapes_native,PhysicsCounters/NumDynamicShapes_native,PhysicsCounters/NumBroadPhasePairs_native,PhysicsCounters/NumMidPhases_native,PhysicsCounters/NumPositionIterations_native,PhysicsCounters/NumVelocityIterations_native,PhysicsCounters/NumProjectionIterations_native
0,0.0,0,11.6303,13.3986,154.7102,21.2682,1.1635,0.0093,0.005,0.0006,0.1938,0.233,0.0144,0.0114,0.0591,0.0005,0.0096,0.012,0.0026,0.0002,0.0222,0.0074,0.0038,0.0001,0.001,0.0001,0.4152,0.0763,0.0014,0.0,65.0,0.0,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
1,0.0116303,0,3.1961,13.3986,5.1707,21.2682,0.2835,0.0071,0.0131,0.0005,0.1295,0.1537,0.0065,0.0015,0.0198,0.0001,0.0024,0.0024,0.0002,0.0002,0.0132,0.0019,0.001,0.0001,0.0018,0.0001,0.2101,0.0261,0.0016,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
2,0.0148264,0,8.5212,2.4498,1.5222,1.852,0.2632,0.0075,0.0046,0.0004,0.0605,0.0767,0.005,0.0025,0.0266,0.0004,0.0055,0.006,0.0004,0.0006,0.0218,0.0036,0.0011,0.0004,0.0029,0.0001,0.1722,0.0326,0.0012,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
3,0.0233476,0,8.0055,2.3372,1.8556,2.2447,0.174,0.0047,0.0043,0.0004,0.0339,0.0472,0.0053,0.0018,0.0171,0.0006,0.0023,0.0024,0.0002,0.0003,0.0117,0.0029,0.0005,0.0002,0.0017,0.0001,0.0986,0.0297,0.0011,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
4,0.0313531,0,8.5038,2.1344,1.6636,1.6623,0.2449,0.0041,0.0039,0.0003,0.0592,0.072,0.0058,0.0021,0.0262,0.0003,0.0039,0.0044,0.0001,0.0003,0.0212,0.0033,0.0009,0.0003,0.0019,0.0001,0.1507,0.0308,0.0011,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
5,0.0398569,0,8.5411,2.2636,1.9638,1.7097,0.3126,0.0065,0.0122,0.0005,0.0796,0.1033,0.0049,0.0028,0.0222,0.0002,0.0036,0.0031,0.0002,0.0002,0.0204,0.003,0.0006,0.0001,0.0015,0.0001,0.1731,0.0651,0.0008,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
6,0.048398,0,8.2684,2.0438,1.6062,1.8089,0.1892,0.0024,0.006,0.0004,0.0421,0.0553,0.0052,0.0019,0.0207,0.0001,0.003,0.0027,0.0003,0.0001,0.0127,0.0036,0.0007,0.0001,0.0016,0.0001,0.1158,0.0259,0.0009,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
7,0.0566664,0,8.2996,2.2504,2.1379,1.7119,0.1912,0.0063,0.0052,0.0005,0.0326,0.0498,0.0036,0.0033,0.0183,0.0001,0.002,0.0027,0.0002,0.0001,0.0163,0.0024,0.0007,0.0001,0.0013,0.0002,0.1053,0.0319,0.001,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
8,0.064966,0,8.3395,2.2404,1.6739,1.7167,0.1899,0.0041,0.0057,0.0003,0.0471,0.0632,0.0034,0.0022,0.0202,0.0002,0.0022,0.0026,0.0001,0.0001,0.0129,0.0018,0.0009,0.0001,0.0015,0.0,0.1184,0.0229,0.0014,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
9,0.0733055,0,8.3261,2.411,2.0819,1.5846,0.2172,0.0079,0.0073,0.0006,0.0526,0.073,0.0048,0.0018,0.0217,0.0007,0.0028,0.003,0.0003,0.0006,0.0144,0.0022,0.0006,0.0001,0.0022,0.0002,0.1362,0.0278,0.0013,0.0,65.0,0.0,2.0,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0
