seconds,phase,live,corpses,parts,bodies,awake,wounds,drops,decals,pools,remaining_blood,deposited_blood,largest_pool_cm,projection_traces,max_body_speed_cm_s,min_live_pair_cm,max_capsule_overlap_cm,player_health
5.000317,0,1,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0,0.0000,-1.0000,0.0000,100.0000
5.304440,0,1,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0,0.0000,-1.0000,0.0000,100.0000
5.409919,0,1,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0,0.0000,-1.0000,0.0000,100.0000
5.516247,0,1,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0,0.0000,-1.0000,0.0000,100.0000
5.632299,0,1,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0,0.0000,-1.0000,0.0000,100.0000
5.748613,0,1,0,0,0,0,0,0,0,0,0.0000,0.0000,0.0000,0,0.0000,-1.0000,0.0000,100.0000
5.871914,0,1,0,0,0,0,1,0,1,0,1.2800,0.0000,0.0000,0,0.0000,-1.0000,0.0000,100.0000
5.989087,0,1,0,0,0,0,1,1,1,0,1.2800,0.0000,0.0000,0,0.0000,-1.0000,0.0000,100.0000
6.108089,0,1,0,0,0,0,1,1,1,0,1.2800,0.0000,0.0000,1,0.0000,-1.0000,0.0000,100.0000
6.224537,0,1,0,0,0,0,1,1,1,0,1.2800,0.0000,0.0000,1,0.0000,-1.0000,0.0000,100.0000
6.343280,0,1,0,0,0,0,1,2,1,0,1.2800,0.0000,0.0000,1,0.0000,-1.0000,0.0000,100.0000
6.459110,0,1,0,0,0,0,1,1,2,1,0.8300,0.4500,4.0000,2,0.0000,-1.0000,0.0000,100.0000
6.576180,0,1,0,0,0,0,1,1,2,1,0.8300,0.4500,5.0000,1,0.0000,-1.0000,0.0000,100.0000
6.692628,0,1,0,0,0,0,1,1,2,1,0.8300,0.4500,6.0000,1,0.0000,-1.0000,0.0000,100.0000
6.811146,0,1,0,0,0,0,0,2,2,1,0.8300,0.4500,8.0000,2,0.0000,-1.0000,0.0000,100.0000
6.927378,0,1,0,0,0,0,0,1,2,1,0.3800,0.9000,9.0000,2,0.0000,-1.0000,0.0000,100.0000
7.044469,0,1,0,0,0,0,0,1,2,1,0.3800,0.9000,10.0000,1,0.0000,-1.0000,0.0000,100.0000
7.161995,0,1,0,0,0,0,0,1,2,1,0.3800,0.9000,10.6921,1,0.0000,-1.0000,0.0000,100.0000
7.279423,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,1,0.0000,-1.0000,0.0000,100.0000
7.397599,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
7.513453,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
7.630740,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
7.746411,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
7.864388,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
7.980758,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
8.096593,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
8.212587,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
8.331244,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
8.448305,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
8.564303,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
8.681080,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
8.798307,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
8.914206,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
9.032064,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
9.148664,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
9.268389,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
9.385367,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
9.503017,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
9.621768,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
9.740799,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
9.860858,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
9.980725,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
10.099143,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
10.218189,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
10.337270,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
10.458015,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
10.577449,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
10.697647,0,1,0,0,0,0,0,0,3,2,0.0000,1.2800,10.6921,0,0.0000,-1.0000,0.0000,100.0000
