case,fixture_relative,file,width,height,frame,world_seconds,points,ammo,reserve,paused,tools,dead,bytes,sha256
c07_ui_1600x900,Candidate05/UI1600x900,01_starter_0_7_56.png,1600,900,80,0.6830233000218868,0,7,56,False,False,False,1217121,f7b55d0745ff25c94f18fc484dd497a9bbb6fe6c747c4647b7c9721838fb28a5
c07_ui_1600x900,Candidate05/UI1600x900,02_expanded_tools.png,1600,900,130,1.2151067033410072,0,7,56,False,True,False,610237,13ceaacae3e82c17e8f5e88f25f71562e00efe1253d3e7d57d722a44cca996fc
c07_ui_1600x900,Candidate05/UI1600x900,03_compact_1500.png,1600,900,233,2.1322363018989563,1500,7,56,False,False,False,1219761,2c612ee99715084d89c60d83ab75e7028f34ec7e03e937082cefcbe983dfe206
c07_ui_1600x900,Candidate05/UI1600x900,04_pause.png,1600,900,363,3.0061648041009903,1500,7,56,True,False,False,475096,3630e93264750cf80a02a262710dbe84c9c02023260fef1717c63120e16c60b5
c07_ui_1600x900,Candidate05/UI1600x900,05_death.png,1600,900,678,4.822867106646299,550,7,56,False,False,True,533356,eede81131475cf3524db503dd7d7a5cdebf0bece7227db312d3edc00a6960754
c07_ui_1600x900,Candidate05/UI1600x900,06_restarted_starter.png,1600,900,866,0.9591701030731201,0,7,56,False,False,False,1218039,5d8751bde2964cf10e0edde283911ff7dab61dccde19d3510b7ecb7db670df74
c07_ui_1280x720,Candidate05/UI1280x720,01_starter_0_7_56.png,1280,720,81,0.6908393017947674,0,7,56,False,False,False,812027,716102efe1f17a2fb113a6feb0fe09221138b68cede6b3eab57e198d7dbfcd21
c07_ui_1280x720,Candidate05/UI1280x720,02_expanded_tools.png,1280,720,136,1.2282275967299938,0,7,56,False,True,False,418194,1120f56b6e27068fc2dc75c38c04952d399afadc3d48801164ef96ec70e35992
c07_ui_1280x720,Candidate05/UI1280x720,03_compact_1500.png,1280,720,241,2.1436544954776764,1500,7,56,False,False,False,814291,6ffcd8942d7c7fa7ea1145e25e4233ebde152a59a21055b22f9c2928bf65c594
c07_ui_1280x720,Candidate05/UI1280x720,04_pause.png,1280,720,375,3.0115275979042053,1500,7,56,True,False,False,328179,9273f06f4ae59f7679809b49690cc90d01d657bf42ae1c052f1e2a08569f3d9a
c07_ui_1280x720,Candidate05/UI1280x720,05_death.png,1280,720,693,4.836563598364592,550,7,56,False,False,True,367762,375db2950afea407406f99eeb301e2cfd3c82c0d8e57f309a62e57fbeaee6d82
c07_ui_1280x720,Candidate05/UI1280x720,06_restarted_starter.png,1280,720,883,0.9531009010970592,0,7,56,False,False,False,814222,ed2974efd4fb6845c98435803f68ad555a93570ea1d7859a74c4bcb14ff27bdd
